Cell #,P1.1B,P2.1D,P3.2F,8.1b,5.1F,7.1B,3.1b,8.2b,9.1D,FAST 3B,FAST 7b,FAST 8b,8B SLOW,7b slow,7B: -10 ST,7B: -20 ST,7B: +5 ST,8b: -10 ST,8b: -20 ST,8b: +5 ST,FM DWN 2hz,FM DWN 5hz,FM DWN 10hz
31,42.7856989329,1.3542011467,8.250843683,33.3299892137,15.26175229,24.7105297304,18.305945618,15.7861858669,12.3944774656,-3.2545035328,5.2997114737,10.349985867,27.7603911855,30.7305497813,25.6908617236,7.5722151857,1.7586955913,23.6647436721,20.0293882982,12.7463332514,26.4748698292,48.6016230973,25.4537110572
32,35.5293104217,-6.7674435226,8.3643398102,11.2726170113,8.7963179127,21.9170756861,8.3544845851,11.7748842574,10.8106970453,-3.060411158,22.6699588716,16.0905623974,24.2271235586,26.4229482298,17.0174935648,36.4580721015,-2.0262360687,22.1175963792,24.2140278428,11.6979972364,26.580888725,51.238813749,34.0349715387
33,40.9754128609,9.7415082244,-0.0813650697,24.2070275367,-2.8262377458,40.8303362871,-3.6568962785,25.9710517041,7.1617160456,-8.3875806428,42.3636226016,10.3829164899,20.7809739701,,19.4024180616,6.5286051803,1.7961793765,8.8310764163,10.5858602626,3.0413636675,34.2517190364,30.7478043845,24.1254481465
34,31.8482448654,6.8333846684,-2.4914299503,12.250292056,5.7247115073,19.1855704931,-8.2818539353,2.0011034739,1.7041188143,,,,,,13.7271944098,9.1768744472,1.4561032287,22.3568047318,4.4461376733,4.2459750716,,,
35,17.0513577511,-2.6175577731,9.4545620211,22.757505128,6.9880586231,23.1330939831,-3.5143727139,11.3522232946,17.9361998798,-1.1382280161,28.89736791,5.8299699835,17.8580909635,23.1983299529,10.799751473,7.6975473315,14.748050481,12.694210031,-2.2763790562,-1.6771781246,15.6777884056,27.3020465673,18.047065306
36,8.9649542095,1.9241134998,-1.4167537864,23.581015038,4.0722009049,29.8688405472,4.9644448213,7.24806689,18.0574830118,-6.7488715452,22.1121562562,14.7060247108,22.8974280496,17.3788902692,20.158141322,4.7002087544,10.298557826,12.0685562461,3.3392715313,4.7539865213,18.0354847357,19.7324495671,20.0278376378
37,13.7721506912,13.3152894319,6.6788923214,7.1895214222,11.3816460045,4.1284778425,7.0014369965,1.0697267017,9.5525972387,-7.0976838716,6.942608358,1.4063655162,11.5508717881,4.2814126907,5.7414207481,1.0080663052,6.4704314179,3.1596216684,0.9048510931,4.4961667965,25.2876759544,39.6480019471,18.0561696671
38,21.0847743086,-1.9462532543,0.6118665202,30.0893015338,3.8093336644,33.1462361442,1.2073086511,11.3362741698,14.5940239681,0.8687353148,34.9543202859,9.475572226,20.1615736783,19.3560273738,28.1451667735,4.8453501932,11.3750387446,24.9467150643,6.8735018071,4.3349101726,15.2773899905,21.090032653,14.5869993548
39,24.6027914383,28.0111158073,25.2656226814,30.3417717921,9.0251025716,14.2842384674,0.0345262285,36.3948666169,22.7757342268,8.9608141079,0.8613057824,4.5919664767,,19.9314408098,11.8681765698,25.8278174559,20.5910295879,16.9869761929,19.9821327104,7.5397614536,19.8434244449,37.2966553354,30.5579917579
40,50.9025959476,-1.3429678164,0.8293018436,120.5432291422,30.1875470725,32.1583245228,2.3086643079,81.4724616845,68.3673092167,-0.2632456712,48.3471290442,78.1860096027,31.9020267616,40.7207916751,19.3895509947,18.6178133718,1.9477004235,26.171087053,13.5191916832,3.2739543203,21.3434580373,22.5245466538,18.3432724189
41,47.3186339479,9.6035732512,15.9469516807,35.1864459577,22.7424711302,40.9752254603,4.8698944692,16.140199391,18.7634212975,,,,26.8341895591,44.4939277963,20.1491222665,12.7867218189,6.4034451297,22.8593974753,2.0397581183,3.6778112328,,,
42,-0.5390869286,15.8515125243,4.4022377806,6.9519885367,-15.8996815141,6.8599243961,-0.6403027533,-5.1289651394,9.7227784064,-12.7783168999,43.9583037584,0.9927071234,,,-0.606311715,-7.2550724799,3.0031512357,6.8159298336,0.9003885961,1.362102129,14.1682649424,32.9046856336,20.464291647
43,31.8821996701,6.0464536691,5.6446141904,33.2465244645,8.5490394161,29.1014723492,-1.4565980113,25.2573610138,12.7908942521,0.1153816868,22.310276902,20.0765988812,35.0145229963,25.2058476125,30.1988943416,5.3393530488,10.1772300012,15.1171198833,10.572427687,3.3882556759,11.5393760338,17.1224003281,12.7764423145
44,41.3940686101,17.9061096639,-1.8690862955,23.5539264342,29.0764433467,52.8761544946,1.0175875751,14.5245339868,22.5129961215,-6.5289532405,99.0240433571,21.9939108672,,,19.3665596304,11.0706302778,5.7403940329,12.8459651151,14.5047788163,9.2701867852,327.0092236976,352.6864167201,280.1458279449
